customer_id,product_id
100,2
100,9
100,4
100,2
100,1
100,8
100,8
100,2
100,2
100,7
100,7
100,3
100,5
100,5
100,9
100,0
100,1
100,9
100,9
100,6
100,1
100,8
100,8
100,4
100,7
100,4
100,0
100,4
100,5
100,3
100,1
100,8
100,2
100,5
100,7
100,9
100,2
100,5
100,2
100,9
100,7
100,7
100,3
100,1
100,4
100,1
100,3
100,0
100,7
100,2
100,0
100,5
100,0
100,4
100,9
100,6
100,7
100,0
100,9
100,6
100,0
100,2
100,3
100,6
100,6
100,9
101,1
101,8
101,3
101,3
101,2
101,7
101,8
101,2
101,3
101,2
101,5
101,2
101,1
101,4
101,4
101,2
101,8
101,5
101,3
101,7
101,1
101,7
101,1
101,6
101,6
101,6
101,4
101,5
101,2
101,2
101,7
101,5
101,6
101,2
101,9
101,5
101,6
101,3
101,0
101,1
101,0
101,5
101,1
101,3
101,2
101,0
101,6
101,7
101,6
101,0
101,9
101,0
101,7
101,7
101,0
101,2
101,1
101,5
101,9
101,6
101,5
102,7
102,7
102,8
102,3
102,5
102,2
102,9
102,5
102,8
102,5
102,0
102,9
102,7
102,8
102,3
102,1
102,9
102,9
102,8
102,8
102,8
102,4
102,8
102,3
102,4
102,2
102,0
102,5
102,0
102,0
102,3
102,3
102,0
102,7
102,4
102,5
102,1
102,9
102,1
102,2
102,9
102,0
102,9
102,4
102,5
102,0
102,4
102,2
102,6
102,9
102,6
102,0
102,5
102,3
102,7
102,8
102,5
102,7
102,5
102,2
102,5
102,8
102,2
102,0
102,6
102,5
102,3
102,1
102,3
102,6
102,5
102,4
102,5
102,2
103,9
103,5
103,2
103,0
103,8
103,9
103,0
103,1
103,1
103,9
103,8
103,3
103,3
103,5
103,5
103,5
103,6
103,3
103,6
103,5
103,4
103,8
103,7
103,6
103,9
103,0
103,9
103,3
103,0
103,5
103,1
103,1
103,0
103,9
103,7
103,9
103,6
103,1
103,0
103,8
103,4
103,2
103,0
103,4
103,4
103,8
103,7
103,2
103,2
103,0
103,5
103,7
103,1
103,2
103,0
103,1
103,6
103,9
103,7
103,2
103,4
103,3
103,7
103,8
103,5
104,1
104,1
104,0
104,2
104,2
104,5
104,2
104,5
104,8
104,2
104,3
104,0
104,2
104,2
104,0
104,7
104,8
104,9
104,0
104,2
104,2
104,9
104,1
104,9
104,7
104,3
104,2
104,8
104,6
104,2
104,3
104,6
104,7
104,1
104,2
104,2
104,5
104,2
104,9
104,9
104,5
104,8
104,6
104,4
104,0
104,9
104,4
104,3
104,4
104,7
104,8
104,1
104,6
104,6
104,6
104,4
104,9
104,2
104,4
104,3
104,2
105,7
105,4
105,8
105,2
105,4
105,4
105,0
105,7
105,2
105,3
105,8
105,1
105,3
105,2
105,4
105,7
105,5
105,6
105,2
105,7
105,7
105,3
105,1
105,0
105,7
105,7
105,1
105,9
105,0
105,9
105,3
105,1
105,8
105,2
105,2
105,5
105,6
105,3
105,4
105,5
105,3
105,2
105,3
105,3
105,0
105,0
105,6
105,3
105,7
105,2
105,5
105,7
105,0
105,4
105,8
105,5
105,4
105,2
105,4
105,6
105,8
105,3
105,9
105,7
105,5
105,2
105,4
105,0
105,2
105,0
105,0
105,6
105,3
105,8
105,3
105,7
105,3
106,6
106,4
106,6
106,9
106,2
106,0
106,0
106,1
106,4
106,3
106,8
106,0
106,3
106,8
106,8
106,6
106,7
106,2
106,5
106,2
106,4
106,0
106,4
106,6
106,3
106,4
106,4
106,1
106,6
106,5
106,3
106,4
106,0
106,9
106,4
106,1
106,2
106,9
106,7
106,4
106,6
106,0
106,7
106,3
106,5
106,1
106,4
106,6
106,0
106,2
106,6
106,0
106,1
106,2
106,4
106,8
106,5
106,7
106,8
106,8
106,2
106,2
107,0
107,5
107,8
107,8
107,0
107,3
107,2
107,4
107,1
107,5
107,4
107,5
107,8
107,2
107,0
107,2
107,4
107,5
107,9
107,5
107,9
107,7
107,2
107,7
107,9
107,1
107,1
107,0
107,7
107,6
107,6
107,6
107,6
107,8
107,1
107,7
107,2
107,1
107,5
107,6
107,5
107,9
107,8
107,3
107,1
107,9
107,0
107,7
107,9
107,6
107,3
107,2
107,4
107,9
107,8
108,3
108,0
108,5
108,6
108,6
108,0
108,6
108,3
108,0
108,1
108,9
108,0
108,5
108,1
108,7
108,7
108,9
108,3
108,4
108,4
108,0
108,8
108,4
108,1
108,3
108,8
108,3
108,4
108,7
108,3
108,0
108,3
108,9
108,5
108,8
108,9
108,5
108,4
108,9
108,9
108,1
108,4
108,5
108,8
108,3
108,9
108,0
108,3
108,1
108,4
108,1
108,1
108,9
108,8
108,5
108,4
108,8
108,5
108,2
108,7
108,8
108,5
108,6
108,0
108,4
108,9
108,4
108,7
108,4
108,1
108,8
108,5
109,2
