customer_id,product_id
1,184
1,84
1,118
1,506
1,471
1,196
1,169
1,135
2,448
2,235
2,87
2,273
2,36
3,409
3,391
3,401
3,499
3,80
3,248
3,495
3,31
3,167
3,207
4,443
4,308
4,453
4,89
4,371
4,263
4,485
4,105
5,271
5,21
5,265
6,233
6,458
6,81
6,507
6,434
6,36
7,209
7,317
7,189
7,402
7,148
7,162
7,327
7,104
7,409
8,155
8,185
9,274
9,490
9,182
9,22
9,29
9,105
9,46
9,397
9,418
9,155
10,278
10,268
10,16
10,510
10,390
11,94
11,52
11,389
11,267
11,441
11,102
11,181
11,224
11,71
12,334
12,207
12,318
12,115
12,484
12,52
12,468
12,235
12,204
12,58
13,86
13,40
13,310
13,420
13,104
13,140
14,108
15,305
15,373
15,507
15,506
15,5
15,108
15,193
15,290
15,175
16,247
16,274
16,348
16,366
16,173
16,398
16,318
16,17
17,240
17,216
17,372
17,220
18,203
18,347
19,163
19,17
19,31
19,481
19,112
19,412
20,472
20,150
20,220
20,23
20,133
20,130
20,251
20,367
20,175
